Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/mail,5,0,590.0,775.933759399777,517.2093479995965,1531.673198000135,570048.8,0.633400136045817,0.0,590,700,700,1500,1500,1500,1500,1500,1500,1500,1500
,Aggregated,5,0,590.0,775.933759399777,517.2093479995965,1531.673198000135,570048.8,0.633400136045817,0.0,590,700,700,1500,1500,1500,1500,1500,1500,1500,1500
